Hole Depth,Rotary Torque,Rotary RPM,Standpipe Pressure,Weight on Bit,Hook Load,Differential Pressure,Inclination,Time Of Penetration,Total Mud Volume,Gamma at Bit,Bit Depth,Bit RPM,Line Wear,Block Height,Min Pressure,Min Hook Load,Min Torque,Min RPM,Min WOB,Rate Of Penetration
1,0.033,0,0,111.6,43.6,-999.25,90.3,187.35,75.2,-999.25,1,0,1327,99.1,0,25,0,0,0.0,0.32
2,0.029,0,0,0.0,39.4,-999.25,90.3,-999.25,75.2,-999.25,2,0,1327,74.1,0,39,0,0,0.0,0.0
3,0.029,0,0,0.0,39.3,-999.25,90.3,-999.25,75.2,-999.25,3,0,1327,72.5,0,39,0,0,0.0,0.0
4,0.029,0,0,112.0,39.2,-999.25,90.3,-999.25,75.2,-999.25,4,0,1327,71.3,0,39,0,0,0.0,0.0
5,0.029,0,0,111.9,39.3,-999.25,90.3,-999.25,75.2,-999.25,5,0,1327,70.3,0,39,0,0,0.0,0.0
6,0.033,0,0,0.0,39.2,-999.25,90.3,-999.25,75.2,-999.25,6,0,1327,69.2,0,39,0,0,0.0,0.0
7,0.033,0,0,0.0,39.1,-999.25,90.3,-999.25,75.2,-999.25,7,0,1327,67.8,0,39,0,0,0.0,0.0
8,0.029,0,0,0.0,39.1,-999.25,90.3,-999.25,75.2,-999.25,8,0,1327,64.2,0,39,0,0,0.0,0.0
9,0.029,0,0,0.0,39.3,-999.25,90.3,-999.25,75.2,-999.25,9,0,1327,63.0,0,39,0,0,0.0,0.0
10,0.029,0,0,0.0,39.2,-999.25,90.3,-999.25,75.2,-999.25,10,0,1327,61.4,0,39,0,0,0.0,0.0
11,0.029,0,0,109.8,42.1,-999.25,90.3,0.61,75.2,-999.25,11,0,1328,92.8,0,42,0,0,109.0,97.64
12,0.029,0,0,109.5,42.3,-999.25,90.3,0.28,75.2,-999.25,12,0,1328,91.8,0,41,0,0,108.9,211.64
13,0.029,0,0,109.5,41.9,-999.25,90.3,0.19,75.2,-999.25,13,0,1328,90.6,0,41,0,0,108.7,320.89
15,0.029,0,0,109.4,41.9,-999.25,90.3,0.12,75.2,-999.25,15,0,1328,88.4,0,41,0,0,109.4,484.71
17,0.029,0,0,110.0,41.9,-999.25,90.3,0.08,75.2,-999.25,17,0,1328,86.6,0,41,0,0,108.9,745.97
19,0.029,0,0,109.8,42.0,-999.25,90.3,0.07,75.2,-999.25,19,0,1328,84.4,0,42,0,0,108.7,904.07
21,0.029,0,0,109.7,41.7,-999.25,90.3,0.05,75.2,-999.25,21,0,1328,82.6,0,42,0,0,109.2,1147.5
22,0.029,0,0,109.5,41.8,-999.25,90.3,0.05,75.2,-999.25,22,0,1328,81.5,0,42,0,0,108.9,1271.37
24,0.029,0,0,109.4,42.1,-999.25,90.3,0.04,75.2,-999.25,24,0,1328,79.7,0,41,0,0,109.1,1479.98
26,0.029,0,0,109.3,42.0,-999.25,90.3,0.03,75.2,-999.25,26,0,1328,77.5,0,41,0,0,109.0,1732.64
28,0.029,0,0,109.6,41.8,-999.25,90.3,0.03,75.2,-999.25,28,0,1328,75.4,0,41,0,0,108.9,1943.62
30,0.029,0,0,110.6,42.3,-999.25,90.3,0.03,75.2,-999.25,30,0,1328,73.6,0,41,0,0,108.0,2197.49
31,0.029,0,0,109.7,41.8,-999.25,90.3,0.03,75.2,-999.25,31,0,1328,72.5,0,42,0,0,108.4,2325.18
33,0.029,0,0,109.9,42.0,-999.25,90.3,0.02,75.2,-999.25,33,0,1328,70.7,0,42,0,0,108.7,2538.57
35,0.029,0,0,109.3,41.9,-999.25,90.3,0.02,75.2,-999.25,35,0,1328,68.5,0,41,0,0,109.0,2795.46
37,0.029,0,0,109.4,41.7,-999.25,90.3,0.02,75.2,-999.25,37,0,1328,66.7,0,41,0,0,109.1,3194.73
39,0.029,0,0,109.6,41.5,-999.25,90.3,-999.25,75.2,-999.25,39,0,1328,64.7,0,41,0,0,109.3,3744.69
40,0.029,0,0,109.9,41.6,-999.25,90.3,-999.25,75.2,-999.25,40,0,1328,63.6,0,41,0,0,109.3,4041.21
